iter	Passed	Remaining
0	36	2892
1	71	2791
2	132	3392
3	186	3545
4	247	3705
5	305	3770
6	377	3932
7	431	3885
8	487	3847
9	544	3811
10	607	3813
11	666	3777
12	714	3683
13	777	3664
14	845	3664
15	919	3679
16	1008	3735
17	1112	3833
18	1187	3813
19	1243	3730
20	1298	3649
21	1363	3594
22	1418	3516
23	1471	3433
24	1523	3351
25	1574	3270
26	1631	3202
27	1686	3131
28	1740	3061
29	1812	3020
30	1885	2980
31	1937	2906
32	1992	2838
33	2045	2767
34	2098	2697
35	2159	2638
36	2210	2569
37	2267	2506
38	2323	2442
39	2382	2382
40	2432	2313
41	2510	2271
42	2575	2216
43	2673	2187
44	2755	2143
45	2835	2095
46	2908	2042
47	3021	2014
48	3107	1965
49	3196	1918
50	3265	1856
51	3357	1807
52	3454	1759
53	3605	1735
54	3754	1706
55	3895	1669
56	3993	1611
57	4078	1547
58	4131	1470
59	4190	1396
60	4260	1327
61	4335	1258
62	4409	1189
63	4470	1117
64	4529	1045
65	4601	976
66	4676	907
67	4761	840
68	4815	767
69	4868	695
70	4924	624
71	4979	553
72	5034	482
73	5085	412
74	5160	344
75	5221	274
76	5297	206
77	5359	137
78	5422	68
79	5486	0
