iter	Passed	Remaining
0	27	2173
1	54	2129
2	107	2749
3	170	3248
4	226	3394
5	280	3462
6	335	3501
7	388	3494
8	440	3475
9	492	3450
10	547	3431
11	600	3402
12	647	3334
13	692	3266
14	737	3194
15	783	3134
16	843	3125
17	887	3057
18	931	2991
19	975	2926
20	1022	2873
21	1067	2814
22	1113	2759
23	1160	2708
24	1205	2652
25	1250	2596
26	1293	2539
27	1343	2494
28	1388	2441
29	1433	2389
30	1478	2337
31	1523	2285
32	1563	2227
33	1608	2175
34	1652	2124
35	1697	2075
36	1742	2025
37	1786	1974
38	1839	1933
39	1883	1883
40	1930	1836
41	1974	1786
42	2017	1736
43	2061	1686
44	2105	1637
45	2149	1588
46	2195	1541
47	2243	1495
48	2288	1447
49	2356	1413
50	2424	1378
51	2484	1337
52	2557	1302
53	2604	1254
54	2655	1207
55	2705	1159
56	2755	1112
57	2814	1067
58	2864	1019
59	2924	974
60	2980	928
61	3037	881
62	3094	835
63	3148	787
64	3214	741
65	3261	691
66	3312	642
67	3364	593
68	3411	543
69	3455	493
70	3499	443
71	3543	393
72	3582	343
73	3625	293
74	3668	244
75	3715	195
76	3759	146
77	3798	97
78	3841	48
79	3885	0
