iter	Passed	Remaining
0	26	2091
1	89	3491
2	153	3943
3	216	4114
4	269	4045
5	329	4065
6	389	4057
7	449	4046
8	501	3956
9	561	3930
10	662	4156
11	744	4219
12	808	4168
13	877	4138
14	937	4063
15	1003	4012
16	1084	4019
17	1153	3972
18	1211	3889
19	1270	3810
20	1325	3724
21	1376	3628
22	1424	3531
23	1447	3378
24	1498	3297
25	1552	3223
26	1607	3155
27	1666	3095
28	1718	3021
29	1786	2977
30	1849	2923
31	1907	2861
32	1959	2791
33	2014	2725
34	2066	2656
35	2116	2587
36	2169	2520
37	2221	2454
38	2271	2387
39	2323	2323
40	2377	2261
41	2430	2199
42	2481	2135
43	2539	2078
44	2591	2015
45	2646	1956
46	2705	1899
47	2761	1841
48	2817	1782
49	2880	1728
50	2932	1667
51	2985	1607
52	3037	1547
53	3087	1486
54	3152	1432
55	3204	1373
56	3260	1315
57	3313	1256
58	3373	1200
59	3427	1142
60	3483	1085
61	3533	1025
62	3588	968
63	3639	909
64	3698	853
65	3755	796
66	3836	744
67	3917	691
68	3968	632
69	4020	574
70	4103	520
71	4185	465
72	4278	410
73	4334	351
74	4393	292
75	4441	233
76	4491	175
77	4538	116
78	4590	58
79	4640	0
