iter	Passed	Remaining
0	29	2896
1	65	3204
2	91	2951
3	104	2509
4	113	2147
5	133	2095
6	146	1949
7	164	1894
8	189	1911
9	212	1915
10	223	1812
11	240	1764
12	275	1846
13	312	1918
14	329	1868
15	346	1820
16	380	1860
17	398	1815
18	437	1866
19	455	1820
20	475	1787
21	486	1725
22	527	1764
23	562	1779
24	590	1770
25	601	1710
26	611	1653
27	651	1674
28	674	1650
29	695	1622
30	705	1569
31	744	1582
32	754	1532
33	791	1537
34	815	1515
35	825	1467
36	834	1420
37	849	1385
38	880	1376
39	906	1359
40	942	1355
41	979	1352
42	1002	1328
43	1041	1325
44	1064	1300
45	1082	1270
46	1107	1248
47	1150	1246
48	1164	1212
49	1184	1184
50	1201	1154
51	1221	1127
52	1245	1104
53	1262	1075
54	1332	1090
55	1359	1068
56	1414	1067
57	1430	1035
58	1489	1035
59	1525	1017
60	1545	987
61	1612	988
62	1669	980
63	1720	967
64	1745	939
65	1803	928
66	1828	900
67	1865	877
68	1894	850
69	1930	827
70	1967	803
71	1988	773
72	2027	749
73	2049	719
74	2072	690
75	2091	660
76	2103	628
77	2134	601
78	2163	575
79	2175	543
80	2216	519
81	2257	495
82	2275	466
83	2298	437
84	2310	407
85	2327	378
86	2368	353
87	2412	328
88	2435	301
89	2479	275
90	2519	249
91	2557	222
92	2602	195
93	2644	168
94	2683	141
95	2718	113
96	2749	85
97	2781	56
98	2799	28
99	2830	0
