iter	Passed	Remaining
0	18	1450
1	66	2606
2	113	2917
3	179	3409
4	227	3405
5	271	3345
6	317	3313
7	362	3260
8	406	3209
9	452	3164
10	496	3114
11	541	3068
12	579	2988
13	629	2967
14	672	2915
15	720	2881
16	764	2834
17	809	2788
18	855	2747
19	935	2805
20	992	2787
21	1038	2736
22	1088	2696
23	1134	2646
24	1179	2595
25	1234	2564
26	1309	2571
27	1366	2537
28	1419	2495
29	1472	2454
30	1525	2411
31	1579	2368
32	1632	2324
33	1683	2277
34	1734	2230
35	1787	2184
36	1840	2138
37	1885	2083
38	1935	2034
39	1996	1996
40	2052	1952
41	2111	1910
42	2162	1860
43	2216	1813
44	2269	1765
45	2322	1716
46	2375	1667
47	2428	1618
48	2482	1570
49	2542	1525
50	2599	1477
51	2661	1432
52	2713	1382
53	2766	1331
54	2819	1281
55	2874	1231
56	2930	1182
57	2984	1132
58	3038	1081
59	3089	1029
60	3143	979
61	3195	927
62	3251	877
63	3309	827
64	3363	776
65	3419	725
66	3471	673
67	3527	622
68	3581	570
69	3631	518
70	3690	467
71	3754	417
72	3809	365
73	3859	312
74	3912	260
75	3966	208
76	4023	156
77	4081	104
78	4135	52
79	4190	0
